ORTHODOX-KJV-TEXT	PATRIARCHAL-TEXT-1904-GREEK	ENGLISH-TRANSLITERATION
14When he arose, he took The Child and His [mother MR.A->6] by night, and departed into Egypt:	ο δε εγερθεις παρελαβε το παιδιον και την μητερα αυτου νυκτος και ανεχωρησε εις αιγυπτον	o de egertheis parelabe to paidion kai ten metera autou nuktos kai anechorese eis aigupton	Mat|2|14|
15And was there until the death of Herod: that it might be fulfilled which was spoken of The [Lord LR.C->5] by the [prophet PR.A->3], saying, Out of Egypt have I called My Son.	και ην εκει εως της τελευτης ηρωδου ινα πληρωθη το ρηθεν υπο του κυριου δια του προφητου λεγοντος εξ αιγυπτου εκαλεσα τον υιον μου.	kai en ekei eos tes teleutes erodou ina plerothe to rethen upo tou kuriou dia tou prophetou legontos ex aiguptou ekalesa ton uion mou.	Mat|2|15|
16Then Herod, when he saw that he was mocked of the magi, was exceeding wroth, and sent forth, and slew all the children that were in Bethlehem, and in all the coasts thereof, from two years old and under, according to the time which he had diligently enquired of the wise men.	τοτε ηρωδης ιδων οτι ενεπαιχθη υπο των μαγων εθυμωθη λιαν και αποστειλας ανειλε παντας τους παιδας τους εν βηθλεεμ και εν πασι τοις οριοις αυτης απο διετους και κατωτερω κατα τον χρονον ον ηκριβωσε παρα των μαγων.	tote erodes idon oti enepaichthe upo ton magon ethumothe lian kai aposteilas aneile pantas tous paidas tous en bethleem kai en pasi tois oriois autes apo dietous kai katotero kata ton chronon on ekribose para ton magon.	Mat|2|16|
17Then was fulfilled that which was spoken by Jeremiah the [prophet PR.A->4], saying,	τοτε επληρωθη το ρηθεν υπο ιερεμιου του προφητου λεγοντος	tote eplerothe to rethen upo ieremiou tou prophetou legontos	Mat|2|17|
18{There was a voice heard in Rama}, lamentation, and weeping, and great mourning, Rachel weeping for her children, and would not be comforted, because they are not.	φωνη εν ραμα ηκουσθη θρηνος και κλαυθμος και οδυρμος πολυς ραχηλ κλαιουσα τα τεκνα αυτης και ουκ ηθελε παρακληθηναι οτι ουκ εισιν.	phone en rama ekousthe threnos kai klauthmos kai odurmos polus rachel klaiousa ta tekna autes kai ouk ethele paraklethenai oti ouk eisin.	Mat|2|18|
19But when Herod was dead, behold, an angel of The [Lord LR.C->6] appeareth in a dream to Joseph in Egypt,	τελευτησαντος δε του ηρωδου ιδου αγγελος κυριου κατ οναρ φαινεται τω ιωσηφ εν αιγυπτω	teleutesantos de tou erodou idou aggelos kuriou kat onar phainetai to ioseph en aigupto	Mat|2|19|
20Saying, Arise, and take The Child and His [mother MR.A->7], and go into the land of Israel: for they are dead which sought The Childís Life.	λεγων εγερθεις παραλαβε το παιδιον και την μητερα αυτου και πορευου εις γην ισραηλ τεθνηκασι γαρ οι ζητουντες την ψυχην του παιδιου.	legon egertheis paralabe to paidion kai ten metera autou kai poreuou eis gen israel tethnekasi gar oi zetountes ten psuchen tou paidiou.	Mat|2|20|
21And he arose, and took The Child and His [mother MR.A->8], and came into the land of Israel.	ο δε εγερθεις παρελαβε το παιδιον και την μητερα αυτου και ηλθεν εις γην ισραηλ.	o de egertheis parelabe to paidion kai ten metera autou kai elthen eis gen israel.	Mat|2|21|
22But when he heard that Archelaus did reign in Judaea in the room of his father Herod, he was afraid to go thither: notwithstanding, being warned of God in a dream, he turned aside into the parts of Galilee:	ακουσας δε οτι αρχελαος βασιλευει επι της ιουδαιας αντι ηρωδου του πατρος αυτου εφοβηθη εκει απελθειν χρηματισθεις δε κατ οναρ ανεχωρησεν εις τα μερη της γαλιλαιας	akousas de oti archelaos basileuei epi tes ioudaias anti erodou tou patros autou ephobethe ekei apelthein chrematistheis de kat onar anechoresen eis ta mere tes galilaias	Mat|2|22|
23And he came and dwelt in a city called Nazareth: that it might be fulfilled which was spoken by the [prophets PR.A->5], He shall be called a Nazarene.	και ελθων κατωκησεν εις πολιν λεγομενην ναζαρετ οπως πληρωθη το ρηθεν δια των προφητων οτι ναζωραιος κληθησεται.	kai elthon katokesen eis polin legomenen nazaret opos plerothe to rethen dia ton propheton oti nazoraios klethesetai.	Mat|2|23|
1In those days came John the Baptist, preaching in the wilderness of Judaea,	εν δε ταις ημεραις εκειναις παραγινεται ιωαννης ο βαπτιστης κηρυσσων εν τη ερημω της ιουδαιας	en de tais emerais ekeinais paraginetai ioannes o baptistes kerusson en te eremo tes ioudaias	Mat|3|1|
2And saying, Repent ye: for The Kingdom of Heaven is at hand.	και λεγων μετανοειτε ηγγικε γαρ η βασιλεια των ουρανων	kai legon metanoeite eggike gar e basileia ton ouranon	Mat|3|2|
3For this is he that was spoken of by the [prophet PR.A->6] Isaiah, saying, The voice of one crying in the wilderness, Prepare ye the way of The Lord, make His paths straight.	ουτος γαρ εστιν ο ρηθεις υπο ησαιου του προφητου λεγοντος φωνη βοωντος εν τη ερημω ετοιμασατε την οδον κυριου ευθειας ποιειτε τας τριβους αυτου.	outos gar estin o retheis upo esaiou tou prophetou legontos phone boontos en te eremo etoimasate ten odon kuriou eutheias poieite tas tribous autou.	Mat|3|3|
4And the same John had his raiment of camelís hair, and a leathern girdle about his loins; and his meat was locusts and wild honey.	αυτος δε ο ιωαννης ειχε το ενδυμα αυτου απο τριχων καμηλου και ζωνην δερματινην περι την οσφυν αυτου η δε τροφη αυτου ην ακριδες και μελι αγριον.	autos de o ioannes eiche to enduma autou apo trichon kamelou kai zonen dermatinen peri ten osphun autou e de trophe autou en akrides kai meli agrion.	Mat|3|4|
5Then went out to him Jerusalem, and all Judaea, and all the region round about Jordan,	τοτε εξεπορευετο προς αυτον ιεροσολυμα και πασα η ιουδαια και πασα η περιχωρος του ιορδανου	tote exeporeueto pros auton ierosoluma kai pasa e ioudaia kai pasa e perichoros tou iordanou	Mat|3|5|
6And were baptized of him in Jordan, confessing their sins.	και εβαπτιζοντο εν τω ιορδανη υπ αυτου εξομολογουμενοι τας αμαρτιας αυτων.	kai ebaptizonto en to iordane up autou exomologoumenoi tas amartias auton.	Mat|3|6|
7But when he saw many of the Pharisees and Sadducees come to his baptism, he said unto them, O generation of vipers, who hath warned you to flee from the wrath to come?	ιδων δε πολλους των φαρισαιων και σαδδουκαιων ερχομενους επι το βαπτισμα αυτου ειπεν αυτοις γεννηματα εχιδνων τις υπεδειξεν υμιν φυγειν απο της μελλουσης οργης	idon de pollous ton pharisaion kai saddoukaion erchomenous epi to baptisma autou eipen autois gennemata echidnon tis upedeixen umin phugein apo tes mellouses orges	Mat|3|7|
8Bring forth therefore fruits meet for repentance:	ποιησατε ουν καρπον αξιον της μετανοιας	poiesate oun karpon axion tes metanoias	Mat|3|8|
9And think not to say within yourselves, We have Abraham to our father: for I say unto you, that God is able of these stones to raise up children unto Abraham.	και μη δοξητε λεγειν εν εαυτοις πατερα εχομεν τον αβρααμ λεγω γαρ υμιν οτι δυναται ο θεος εκ των λιθων τουτων εγειραι τεκνα τω αβρααμ.	kai me doxete legein en eautois patera echomen ton abraam lego gar umin oti dunatai o theos ek ton lithon touton egeirai tekna to abraam.	Mat|3|9|
10And now also the axe is laid unto the root of the trees: therefore every tree which bringeth not forth good fruit is hewn down, and cast into the fire.	ηδη δε και η αξινη προς την ριζαν των δενδρων κειται παν ουν δενδρον μη ποιουν καρπον καλον εκκοπτεται και εις πυρ βαλλεται.	ede de kai e axine pros ten rizan ton dendron keitai pan oun dendron me poioun karpon kalon ekkoptetai kai eis pur balletai.	Mat|3|10|
11I indeed baptize you with water unto repentance: but He that cometh after me is mightier than I, whose shoes I am not worthy to bear: He shall [baptize BP->1] you with The Holy Spirit, and with Fire:	εγω μεν βαπτιζω υμας εν υδατι εις μετανοιαν ο δε οπισω μου ερχομενος ισχυροτερος μου εστιν ου ουκ ειμι ικανος τα υποδηματα βαστασαι αυτος υμας βαπτισει εν πνευματι αγιω και πυρι.	ego men baptizo umas en udati eis metanoian o de opiso mou erchomenos ischuroteros mou estin ou ouk eimi ikanos ta upodemata bastasai autos umas baptisei en pneumati agio kai puri.	Mat|3|11|
12Whose fan is in His Hand, and He will throughly purge His floor, and gather His wheat into the garner; but He will burn up the chaff with unquenchable fire.	ου το πτυον εν τη χειρι αυτου και διακαθαριει την αλωνα αυτου και συναξει τον σιτον αυτου εις την αποθηκην το δε αχυρον κατακαυσει πυρι ασβεστω.	ou to ptuon en te cheiri autou kai diakathariei ten alona autou kai sunaxei ton siton autou eis ten apotheken to de achuron katakausei puri asbesto.	Mat|3|12|
13Then cometh Jesus from Galilee to Jordan unto John, to be baptized of him.	τοτε παραγινεται ο ιησους απο της γαλιλαιας επι τον ιορδανην προς τον ιωαννην του βαπτισθηναι υπ αυτου.	tote paraginetai o iesous apo tes galilaias epi ton iordanen pros ton ioannen tou baptisthenai up autou.	Mat|3|13|
14But John forbad Him, saying, I have need to be [baptized BP->2] of Thee, and comest Thou to me?	ο δε ιωαννης διεκωλυεν αυτον λεγων εγω χρειαν εχω υπο σου βαπτισθηναι και συ ερχη προς με	o de ioannes diekoluen auton legon ego chreian echo upo sou baptisthenai kai su erche pros me	Mat|3|14|
15And Jesus answering said unto him, Suffer it to be so now: for thus it becometh us to fulfil all righteousness. Then he suffered Him.	αποκριθεις δε ο ιησους ειπε προς αυτον αφες αρτι ουτω γαρ πρεπον εστιν ημιν πληρωσαι πασαν δικαιοσυνην. τοτε αφιησιν αυτον	apokritheis de o iesous eipe pros auton aphes arti outo gar prepon estin emin plerosai pasan dikaiosunen. tote aphiesin auton	Mat|3|15|
16And Jesus, when He was baptized, went up straightway out of the water: and, behold, The Heavens were opened unto him, and he saw The Spirit of God descending like a dove, and lighting upon Him:	και βαπτισθεις ο ιησους ανεβη ευθυς απο του υδατος και ιδου ανεωχθησαν αυτω οι ουρανοι και ειδε το πνευμα του θεου καταβαινον ωσει περιστεραν και ερχομενον επ αυτον	kai baptistheis o iesous anebe euthus apo tou udatos kai idou aneochthesan auto oi ouranoi kai eide to pneuma tou theou katabainon osei peristeran kai erchomenon ep auton	Mat|3|16|
17And behold a Voice from Heaven, saying, This is My Beloved Son, in Whom I am well pleased.	και ιδου φωνη εκ των ουρανων λεγουσα ουτος εστιν ο υιος μου ο αγαπητος εν ω ευδοκησα.	kai idou phone ek ton ouranon legousa outos estin o uios mou o agapetos en o eudokesa.	Mat|3|17|
1Then was Jesus led up of the Spirit into the wilderness to be tempted of the devil.	τοτε ο ιησους ανηχθη εις την ερημον υπο του πνευματος πειρασθηναι υπο του διαβολου	tote o iesous anechthe eis ten eremon upo tou pneumatos peirasthenai upo tou diabolou	Mat|4|1|
2And when He had fasted forty days and forty nights, He was afterward an hungred.	και νηστευσας ημερας τεσσερακοντα και νυκτας τεσσερακοντα υστερον επεινασε.	kai nesteusas emeras tesserakonta kai nuktas tesserakonta usteron epeinase.	Mat|4|2|
3And when the tempter came to Him, he said, If thou be The Son of God, command that these stones be made bread.	και προσελθων αυτω ο πειραζων ειπεν ει υιος ει του θεου ειπε ινα οι λιθοι ουτοι αρτοι γενωνται.	kai proselthon auto o peirazon eipen ei uios ei tou theou eipe ina oi lithoi outoi artoi genontai.	Mat|4|3|
4But He answered and said, It is written, Man shall not live by bread alone, but by every word that proceedeth out of The Mouth of God.	ο δε αποκριθεις ειπε γεγραπται ουκ επ αρτω μονω ζησεται ανθρωπος αλλ επι παντι ρηματι εκπορευομενω δια στοματος θεου.	o de apokritheis eipe gegraptai ouk ep arto mono zesetai anthropos all epi panti remati ekporeuomeno dia stomatos theou.	Mat|4|4|
5Then the devil taketh Him up into The Holy City, and setteth Him on a pinnacle of The Temple,	τοτε παραλαμβανει αυτον ο διαβολος εις την αγιαν πολιν και ιστησιν αυτον επι το πτερυγιον του ιερου	tote paralambanei auton o diabolos eis ten agian polin kai istesin auton epi to pterugion tou ierou	Mat|4|5|
6And saith unto Him, If Thou be The Son of God, cast Thyself down: for it is written, He shall give His angels charge concerning thee: and in their hands they shall bear thee up, lest at any time thou dash thy foot against a stone.	και λεγει αυτω ει υιος ει του θεου βαλε σεαυτον κατω γεγραπται γαρ οτι τοις αγγελοις αυτου εντελειται περι σου και επι χειρων αρουσι σε μηποτε προσκοψης προς λιθον τον ποδα σου.	kai legei auto ei uios ei tou theou bale seauton kato gegraptai gar oti tois aggelois autou enteleitai peri sou kai epi cheiron arousi se mepote proskopses pros lithon ton poda sou.	Mat|4|6|
7Jesus said unto him, It is written again, Thou shalt not tempt The [Lord LR.A->1] thy God.	εφη αυτω ο ιησους παλιν γεγραπται ουκ εκπειρασεις κυριον τον θεον σου.	ephe auto o iesous palin gegraptai ouk ekpeiraseis kurion ton theon sou.	Mat|4|7|
8Again, the devil taketh Him up into an exceeding high mountain, and sheweth Him all the kingdoms of the world, and the glory of them;	παλιν παραλαμβανει αυτον ο διαβολος εις ορος υψηλον λιαν και δεικνυσιν αυτω πασας τας βασιλειας του κοσμου και την δοξαν αυτων	palin paralambanei auton o diabolos eis oros upselon lian kai deiknusin auto pasas tas basileias tou kosmou kai ten doxan auton	Mat|4|8|
