1. The beginning of The Gospel of Jesus Christ, [The Son of God SG->5];	αρχη του ευαγγελιου ιησου χριστου υιου του θεου.	arche tou euaggeliou iesou christou uiou tou theou.	Mar|1|1|
26. And when the unclean spirit had torn him, and cried with a loud voice, he came out of him.	και σπαραξαν αυτον το πνευμα το ακαθαρτον και κραξαν φωνη μεγαλη εξηλθεν εξ αυτου.	kai sparaxan auton to pneuma to akatharton kai kraxan phone megale exelthen ex autou.	Mar|1|26|

27. And they were all amazed, insomuch that they questioned among themselves, saying, What thing is this? what new teaching is this? for with authority commandeth He even the unclean spirits, and they do obey him.	και εθαμβηθησαν παντες ωστε συζητειν προς εαυτους λεγοντας τι εστι τουτο τις η διδαχη η καινη αυτη οτι κατ εξουσιαν και τοις πνευμασι τοις ακαθαρτοις επιτασσει και υπακουουσιν αυτω	kai ethambethesan pantes oste suzetein pros eautous legontas ti esti touto tis e didache e kaine aute oti kat exousian kai tois pneumasi tois akathartois epitassei kai upakouousin auto	Mar|1|27|

28. And immediately His fame spread abroad throughout all the region round about Galilee.	και εξηλθεν η ακοη αυτου ευθυς εις ολην την περιχωρον της γαλιλαιας.	kai exelthen e akoe autou euthus eis olen ten perichoron tes galilaias.	Mar|1|28|

29. And forthwith, when they were come out of the synagogue, they entered into the house of Simon and Andrew, with James and John.	και ευθεως εκ της συναγωγης εξελθοντες ηλθον εις την οικιαν σιμωνος και ανδρεου μετα ιακωβου και ιωαννου.	kai eutheos ek tes sunagoges exelthontes elthon eis ten oikian simonos kai andreou meta iakobou kai ioannou.	Mar|1|29|

30. But Simonís wifeís mother lay sick of a fever, and anon they tell Him of her.	η δε πενθερα σιμωνος κατεκειτο πυρεσσουσα. και ευθεως λεγουσιν αυτω περι αυτης.	e de penthera simonos katekeito puressousa. kai eutheos legousin auto peri autes.	Mar|1|30|

31. And He came and took her by the hand, and lifted her up; and immediately the fever left her, and she ministered unto them.	και προσελθων ηγειρεν αυτην κρατησας της χειρος αυτης και αφηκεν αυτην ο πυρετος ευθεως και διηκονει αυτοις.	kai proselthon egeiren auten kratesas tes cheiros autes kai apheken auten o puretos eutheos kai diekonei autois.	Mar|1|31|

32. And at even, when the sun did set, they brought unto Him all that were diseased, and them that were possessed with devils.	οψιας δε γενομενης οτε εδυ ο ηλιος εφερον προς αυτον παντας τους κακως εχοντας και τους δαιμονιζομενους	opsias de genomenes ote edu o elios epheron pros auton pantas tous kakos echontas kai tous daimonizomenous	Mar|1|32|

33. And all the city was gathered together at the door.	και ην η πολις ολη επισυνηγμενη προς την θυραν	kai en e polis ole episunegmene pros ten thuran	Mar|1|33|

34. And He healed many that were sick of divers diseases, and cast out many devils; and suffered not the devils to speak, because they knew Him.	και εθεραπευσε πολλους κακως εχοντας ποικιλαις νοσοις και δαιμονια πολλα εξεβαλε και ουκ ηφιε λαλειν τα δαιμονια οτι ηδεισαν αυτον.	kai etherapeuse pollous kakos echontas poikilais nosois kai daimonia polla exebale kai ouk ephie lalein ta daimonia oti edeisan auton.	Mar|1|34|

35. And in the morning, rising up a great while before day, He went out, and departed into a solitary place, and there prayed.	και πρωι εννυχα λιαν αναστας εξηλθε και απηλθεν εις ερημον τοπον κακει προσηυχετο.	kai proi ennucha lian anastas exelthe kai apelthen eis eremon topon kakei proseucheto.	Mar|1|35|

36. And Simon and they that were with Him followed after Him.	και κατεδιωξαν αυτον ο σιμων και οι μετ αυτου	kai katedioxan auton o simon kai oi met autou	Mar|1|36|

37. And when they had found Him, they said unto Him, All men seek for Thee.	και ευροντες αυτον λεγουσιν αυτω οτι παντες ζητουσι σε.	kai eurontes auton legousin auto oti pantes zetousi se.	Mar|1|37|

38. And He said unto them, Let us go into the next towns, that I may preach there also: for therefore came I forth.	και λεγει αυτοις αγωμεν εις τας εχομενας κωμοπολεις ινα και εκει κηρυξω εις τουτο γαρ εξεληλυθα.	kai legei autois agomen eis tas echomenas komopoleis ina kai ekei keruxo eis touto gar exelelutha.	Mar|1|38|

39. And He preached in their synagogues throughout all Galilee, and cast out devils.	και ην κηρυσσων εν ταις συναγωγαις αυτων εις ολην την γαλιλαιαν και τα δαιμονια εκβαλλων.	kai en kerusson en tais sunagogais auton eis olen ten galilaian kai ta daimonia ekballon.	Mar|1|39|

40. And there came a leper to Him, beseeching Him, and kneeling down to Him, and saying unto Him, If Thou wilt, thou canst make me clean.	και ερχεται προς αυτον λεπρος παρακαλων αυτον και γονυπετων και λεγων αυτω οτι εαν θελης δυνασαι με καθαρισαι.	kai erchetai pros auton lepros parakalon auton kai gonupeton kai legon auto oti ean theles dunasai me katharisai.	Mar|1|40|

41. And Jesus, moved with compassion, put forth His Hand, and touched him, and saith unto him, I Will; be thou clean.	ο δε ιησους σπλαγχνισθεις εκτεινας την χειρα ηψατο αυτου και λεγει αυτω θελω καθαρισθητι.	o de iesous splagchnistheis ekteinas ten cheira epsato autou kai legei auto thelo katharistheti.	Mar|1|41|

42. And as soon as He had spoken, immediately the leprosy departed from him, and he was cleansed.	και ειποντος αυτου ευθεως απηλθεν απ αυτου η λεπρα και εκαθαρισθη.	kai eipontos autou eutheos apelthen ap autou e lepra kai ekatharisthe.	Mar|1|42|

43. And He straitly charged him, and forthwith sent him away;	και εμβριμησαμενος αυτω ευθεως εξεβαλεν αυτον	kai embrimesamenos auto eutheos exebalen auton	Mar|1|43|

44. And saith unto him, See thou say nothing to any man: but go thy way, shew thyself to the priest, and offer for thy cleansing those things which Moses commanded, for a testimony unto them.	και λεγει αυτω ορα μηδενι μηδεν ειπης αλλα υπαγε σεαυτον δειξον τω ιερει και προσενεγκε περι του καθαρισμου σου α προσεταξε μωϋσης εις μαρτυριον αυτοις.	kai legei auto ora medeni meden eipes alla upage seauton deixon to ierei kai prosenegke peri tou katharismou sou a prosetaxe moüses eis marturion autois.	Mar|1|44|

45. But he went out, and began to publish it much, and to blaze abroad the matter, insomuch that Jesus could no more openly enter into the city, but was without in desert places: and they came to Him from every quarter.	ο δε εξελθων ηρξατο κηρυσσειν πολλα και διαφημιζειν τον λογον ωστε μηκετι αυτον δυνασθαι φανερως εις πολιν εισελθειν αλλ εξω εν ερημοις τοποις ην και ηρχοντο προς αυτον παντοθεν.	o de exelthon erxato kerussein polla kai diaphemizein ton logon oste meketi auton dunasthai phaneros eis polin eiselthein all exo en eremois topois en kai erchonto pros auton pantothen.	Mar|1|45|

1. And again he entered into Capernaum, after some days; and it was noised that He was in the house.	και εισηλθε παλιν εις καπερναουμ δι ημερων και ηκουσθη οτι εις οικον εστι.	kai eiselthe palin eis kapernaoum di emeron kai ekousthe oti eis oikon esti.	Mar|2|1|

2. And straightway many were gathered together, insomuch that there was no room to receive them, no, not so much as about the door: and He preached the word unto them.	και ευθεως συνηχθησαν πολλοι ωστε μηκετι χωρειν μηδε τα προς την θυραν και ελαλει αυτοις τον λογον.	kai eutheos sunechthesan polloi oste meketi chorein mede ta pros ten thuran kai elalei autois ton logon.	Mar|2|2|

3. And they come unto Him, bringing one sick of the palsy, which was borne of four.	και ερχονται προς αυτον παραλυτικον φεροντες αιρομενον υπο τεσσαρων	kai erchontai pros auton paralutikon pherontes airomenon upo tessaron	Mar|2|3|

4. And when they could not come nigh unto Him for the press, they uncovered the roof where He was: and when they had broken it up, they let down the bed wherein the sick of the palsy lay.	και μη δυναμενοι προσεγγισαι αυτω δια τον οχλον απεστεγασαν την στεγην οπου ην και εξορυξαντες χαλωσι τον κραβαττον εφ ω ο παραλυτικος κατεκειτο.	kai me dunamenoi proseggisai auto dia ton ochlon apestegasan ten stegen opou en kai exoruxantes chalosi ton krabatton eph o o paralutikos katekeito.	Mar|2|4|

5. When Jesus saw their faith, He said unto the sick of the palsy, Child, thy sins be forgiven thee.	ιδων δε ο ιησους την πιστιν αυτων λεγει τω παραλυτικω τεκνον αφεωνται σοι αι αμαρτιαι σου.	idon de o iesous ten pistin auton legei to paralutiko teknon apheontai soi ai amartiai sou.	Mar|2|5|

6. But there were certain of the scribes sitting there, and reasoning in their hearts,	ησαν δε τινες των γραμματεων εκει καθημενοι και διαλογιζομενοι εν ταις καρδιαις αυτων	esan de tines ton grammateon ekei kathemenoi kai dialogizomenoi en tais kardiais auton	Mar|2|6|

7. Why doth this Man thus speak blasphemies? who can forgive sins but God only?	τι ουτος ουτω λαλει βλασφημιας τις δυναται αφιεναι αμαρτιας ει μη εις ο θεος	ti outos outo lalei blasphemias tis dunatai aphienai amartias ei me eis o theos	Mar|2|7|

8. And immediately when Jesus perceived in His Spirit that they so reasoned within themselves, He said unto them, Why reason ye these things in your hearts?	και ευθεως επιγνους ο ιησους τω πνευματι αυτου οτι ουτως διαλογιζονται εν εαυτοις ειπεν αυτοις τι ταυτα διαλογιζεσθε εν ταις καρδιαις υμων	kai eutheos epignous o iesous to pneumati autou oti outos dialogizontai en eautois eipen autois ti tauta dialogizesthe en tais kardiais umon	Mar|2|8|

9. Whether is it easier to say to the sick of the palsy, Thy sins be forgiven thee; or to say, Arise, and take up thy bed, and walk?	τι εστιν ευκοπωτερον ειπειν τω παραλυτικω αφεωνται σοι αι αμαρτιαι η ειπειν εγειρε και αρον τον κραβαττον σου και περιπατει	ti estin eukopoteron eipein to paralutiko apheontai soi ai amartiai e eipein egeire kai aron ton krabatton sou kai peripatei	Mar|2|9|

10. But that ye may know that The Son of man hath authority on earth to forgive sins, He saith to the sick of the palsy,	ινα δε ειδητε οτι εξουσιαν εχει ο υιος του ανθρωπου αφιεναι επι της γης αμαρτιας - λεγει τω παραλυτικω	ina de eidete oti exousian echei o uios tou anthropou aphienai epi tes ges amartias - legei to paralutiko	Mar|2|10|

11. I say unto thee, Arise, and take up thy bed, and go thy way into thine house.	σοι λεγω εγειρε και αρον τον κραβαττον σου και υπαγε εις τον οικον σου.	soi lego egeire kai aron ton krabatton sou kai upage eis ton oikon sou.	Mar|2|11|

12. And immediately he arose, took up the bed, and went forth before them all; insomuch that they were all amazed, and glorified God, saying, We never saw it on this fashion.	και ηγερθη ευθεως και αρας τον κραβαττον εξηλθεν εναντιον παντων ωστε εξιστασθαι παντας και δοξαζειν τον θεον λεγοντας οτι ουδεποτε ουτως ειδομεν.	kai egerthe eutheos kai aras ton krabatton exelthen enantion panton oste existasthai pantas kai doxazein ton theon legontas oti oudepote outos eidomen.	Mar|2|12|

13. And He went forth again by the sea side; and all the multitude resorted unto Him, and He taught them.	και εξηλθε παλιν παρα την θαλασσαν και πας ο οχλος ηρχετο προς αυτον και εδιδασκεν αυτους.	kai exelthe palin para ten thalassan kai pas o ochlos ercheto pros auton kai edidasken autous.	Mar|2|13|

14. And as He passed by, He saw Levi the son of Alphaeus sitting at the receipt of custom, and said unto Him, Follow Me. And he arose and followed Him.	και παραγων ειδε λευιν τον του αλφαιου καθημενον επι το τελωνιον και λεγει αυτω ακολουθει μοι. και αναστας ηκολουθησεν αυτω.	kai paragon eide leuin ton tou alphaiou kathemenon epi to telonion kai legei auto akolouthei moi. kai anastas ekolouthesen auto.	Mar|2|14|

15. And it came to pass, that, as Jesus sat at meat in his house, many publicans and sinners sat also together with Jesus and His disciples: for there were many, and they followed Him.	και εγενετο εν τω κατακεισθαι αυτον εν τη οικια αυτου και πολλοι τελωναι και αμαρτωλοι συνανεκειντο τω ιησου και τοις μαθηταις αυτου ησαν γαρ πολλοι και ηκολουθησαν αυτω.	kai egeneto en to katakeisthai auton en te oikia autou kai polloi telonai kai amartoloi sunanekeinto to iesou kai tois mathetais autou esan gar polloi kai ekolouthesan auto.	Mar|2|15|

16. And when the scribes and Pharisees saw Him eat with publicans and sinners, they said unto His disciples, How is it that He eateth and drinketh with publicans and sinners?	και οι γραμματεις και οι φαρισαιοι ιδοντες αυτον εσθιοντα μετα των τελωνων και αμαρτωλων ελεγον τοις μαθηταις αυτου τι οτι μετα των τελωνων και αμαρτωλων εσθιει και πινει	kai oi grammateis kai oi pharisaioi idontes auton esthionta meta ton telonon kai amartolon elegon tois mathetais autou ti oti meta ton telonon kai amartolon esthiei kai pinei	Mar|2|16|

17. When Jesus heard it, He saith unto them, They that are whole have no need of The Physician, but they that are sick: I came not to call the righteous, but sinners to repentance.	και ακουσας ο ιησους λεγει αυτοις ου χρειαν εχουσιν οι ισχυοντες ιατρου αλλ οι κακως εχοντες ουκ ηλθον καλεσαι δικαιους αλλα αμαρτωλους εις μετανοιαν.	kai akousas o iesous legei autois ou chreian echousin oi ischuontes iatrou all oi kakos echontes ouk elthon kalesai dikaious alla amartolous eis metanoian.	Mar|2|17|

18. And the disciples of John and of the Pharisees used to fast: and they come and say unto Him, Why do the disciples of John and of the Pharisees fast, but Thy disciples fast not?	και ησαν οι μαθηται ιωαννου και οι των φαρισαιων νηστευοντες. και ερχονται και λεγουσιν αυτω διατι οι μαθηται ιωαννου και οι των φαρισαιων νηστευουσιν οι δε σοι μαθηται ου νηστευουσι	kai esan oi mathetai ioannou kai oi ton pharisaion nesteuontes. kai erchontai kai legousin auto diati oi mathetai ioannou kai oi ton pharisaion nesteuousin oi de soi mathetai ou nesteuousi	Mar|2|18|

19. And Jesus said unto them, Can the sons of the bridechamber fast, while The Bridegroom is with them? as long as they have The Bridegroom with them, they cannot fast.	και ειπεν αυτοις ο ιησους μη δυνανται οι υιοι του νυμφωνος εν ω ο νυμφιος μετ αυτων εστιν νηστευειν οσον χρονον μεθ εαυτων εχουσι τον νυμφιον ου δυνανται νηστευειν	kai eipen autois o iesous me dunantai oi uioi tou numphonos en o o numphios met auton estin nesteuein oson chronon meth eauton echousi ton numphion ou dunantai nesteuein	Mar|2|19|

20. But the days will come, when The Bridegroom shall be taken away from them, and then shall they fast in those days.	ελευσονται δε ημεραι οταν απαρθη απ αυτων ο νυμφιος και τοτε νηστευσουσιν εν εκειναις ταις ημεραις.	eleusontai de emerai otan aparthe ap auton o numphios kai tote nesteusousin en ekeinais tais emerais.	Mar|2|20|

21. No man also seweth a piece of new cloth on an old garment: else the new piece that filled it up taketh away from the old, and the rent is made worse.	ουδεις επιβλημα ρακους αγναφου επιρραπτει επι ιματιω παλαιω ει δε μη αιρει το πληρωμα αυτου το καινον του παλαιου και χειρον σχισμα γινεται.	oudeis epiblema rakous agnaphou epirraptei epi imatio palaio ei de me airei to pleroma autou to kainon tou palaiou kai cheiron schisma ginetai.	Mar|2|21|

22. And no man putteth new wine into old bottles: else the new wine doth burst the bottles, and the wine is spilled, and the bottles will be marred: but new wine must be put into new bottles.	και ουδεις βαλλει οινον νεον εις ασκους παλαιους ει δε μη ρησσει ο οινος ο νεος τους ασκους και ο οινος εκχειται και οι ασκοι απολουνται αλλα οινον νεον εις ασκους καινους βλητεον.	kai oudeis ballei oinon neon eis askous palaious ei de me ressei o oinos o neos tous askous kai o oinos ekcheitai kai oi askoi apolountai alla oinon neon eis askous kainous bleteon.	Mar|2|22|

23. And it came to pass, that He went through the corn fields on the sabbath day; and His disciples began, as they went, to pluck the ears of corn.	και εγενετο παραπορευεσθαι αυτον εν τοις σαββασι δια των σποριμων και ηρξαντο οι μαθηται αυτου οδον ποιειν τιλλοντες τους σταχυας.	kai egeneto paraporeuesthai auton en tois sabbasi dia ton sporimon kai erxanto oi mathetai autou odon poiein tillontes tous stachuas.	Mar|2|23|

24. And the Pharisees said unto Him, Behold, why do they on the sabbath day that which is not lawful?	και οι φαρισαιοι ελεγον αυτω ιδε τι ποιουσιν εν τοις σαββασιν ο ουκ εξεστιν.	kai oi pharisaioi elegon auto ide ti poiousin en tois sabbasin o ouk exestin.	Mar|2|24|

25. And He said unto them, Have ye never read what [David DV->19] did, when he had need, and was an hungred, he, and they that were with him?	και αυτος ελεγεν αυτοις ουδεποτε ανεγνωτε τι εποιησε δαυιδ οτε χρειαν εσχε και επεινασεν αυτος και οι μετ αυτου	kai autos elegen autois oudepote anegnote ti epoiese dauid ote chreian esche kai epeinasen autos kai oi met autou	Mar|2|25|

26. How he went into The House of God in the days of Abiathar the high priest, and did eat the shewbread, which is not lawful to eat but for the priests, and gave also to them which were with him?	πως εισηλθεν εις τον οικον του θεου επι αβιαθαρ αρχιερεως και τους αρτους της προθεσεως εφαγεν ους ουκ εξεστι φαγειν ει μη τοις ιερευσι και εδωκε και τοις συν αυτω ουσι	pos eiselthen eis ton oikon tou theou epi abiathar archiereos kai tous artous tes protheseos ephagen ous ouk exesti phagein ei me tois iereusi kai edoke kai tois sun auto ousi	Mar|2|26|

27. And He said unto them, The sabbath was made for man, and not man for the sabbath:	και ελεγεν αυτοις το σαββατον δια τον ανθρωπον εγενετο ουχ ο ανθρωπος δια το σαββατον	kai elegen autois to sabbaton dia ton anthropon egeneto ouch o anthropos dia to sabbaton	Mar|2|27|

28. Therefore The Son of man is Lord also of the sabbath.	ωστε κυριος εστι ο υιος του ανθρωπου και του σαββατου.	oste kurios esti o uios tou anthropou kai tou sabbatou.	Mar|2|28|

1. And He entered again into the synagogue; and there was a man there which had a withered hand.	και εισηλθε παλιν εις την συναγωγην και ην εκει ανθρωπος εξηραμμενην εχων την χειρα.	kai eiselthe palin eis ten sunagogen kai en ekei anthropos exerammenen echon ten cheira.	Mar|3|1|

2. And they watched Him, whether He would heal him on the sabbath day; that they might accuse Him.	και παρετηρουν αυτον ει τοις σαββασι θεραπευσει αυτον ινα κατηγορησωσιν αυτου.	kai pareteroun auton ei tois sabbasi therapeusei auton ina kategoresosin autou.	Mar|3|2|

3. And He saith unto the man which had the withered hand, Stand forth.	και λεγει τω ανθρωπω τω εξηραμενην εχοντι την χειρα εγειρε εις το μεσον.	kai legei to anthropo to exeramenen echonti ten cheira egeire eis to meson.	Mar|3|3|

4. And He saith unto them, Is it lawful to do good on the sabbath days, or to do evil? to save life, or to kill? But they held their peace.	και λεγει αυτοις εξεστι τοις σαββασιν αγαθοποιησαι η κακοποιησαι ψυχην σωσαι η αποκτειναι οι δε εσιωπων.	kai legei autois exesti tois sabbasin agathopoiesai e kakopoiesai psuchen sosai e apokteinai oi de esiopon.	Mar|3|4|

5. And when He had looked round about on them with anger, being grieved for the hardness of their hearts, He saith unto the man, Stretch forth thine hand. And he stretched it out: and his hand was restored whole as the other.	και περιβλεψαμενος αυτους μετ οργης συλλυπουμενος επι τη πωρωσει της καρδιας αυτων λεγει τω ανθρωπω εκτεινον την χειρα σου. και εξετεινε και αποκατεσταθη η χειρ αυτου υγιης ως η αλλη.	kai periblepsamenos autous met orges sullupoumenos epi te porosei tes kardias auton legei to anthropo ekteinon ten cheira sou. kai exeteine kai apokatestathe e cheir autou ugies os e alle.	Mar|3|5|

6. And the Pharisees went forth, and straightway took counsel with the Herodians against Him, how they might destroy Him.	και εξελθοντες οι φαρισαιοι ευθεως μετα των ηρωδιανων συμβουλιον εποιουν κατ αυτου οπως αυτον απολεσωσι.	kai exelthontes oi pharisaioi eutheos meta ton erodianon sumboulion epoioun kat autou opos auton apolesosi.	Mar|3|6|

7. But Jesus withdrew Himself with His disciples to the sea: and a great multitude from Galilee followed Him, and from Judaea,	και ο ιησους ανεχωρησε μετα των μαθητων αυτου προς την θαλασσαν και πολυ πληθος απο της γαλιλαιας ηκολουθησαν αυτω και απο της ιουδαιας	kai o iesous anechorese meta ton matheton autou pros ten thalassan kai polu plethos apo tes galilaias ekolouthesan auto kai apo tes ioudaias	Mar|3|7|

