1. Forasmuch as many have taken in hand to set forth in order a declaration of those things which are most surely believed among us,	επειδηπερ πολλοι επεχειρησαν αναταξασθαι διηγησιν περι των πεπληροφορημενων εν ημιν πραγματων	epeideper polloi epecheiresan anataxasthai diegesin peri ton peplerophoremenon en emin pragmaton	Luk|1|1|
12. And when Zacharias saw him, he was troubled, and fear fell upon him.	και εταραχθη ζαχαριας ιδων και φοβος επεπεσεν επ αυτον.	kai etarachthe zacharias idon kai phobos epepesen ep auton.	Luk|1|12|

13. But the angel said unto him, Fear not, Zacharias: for thy prayer is heard; and thy wife Elisabeth shall bear thee a son, and thou shalt call his name John.	ειπε δε προς αυτον ο αγγελος μη φοβου ζαχαρια διοτι εισηκουσθη η δεησις σου και η γυνη σου ελισαβετ γεννησει υιον σοι και καλεσεις το ονομα αυτου ιωαννην.	eipe de pros auton o aggelos me phobou zacharia dioti eisekousthe e deesis sou kai e gune sou elisabet gennesei uion soi kai kaleseis to onoma autou ioannen.	Luk|1|13|

14. And thou shalt have joy and gladness; and many shall rejoice at his birth.	και εσται χαρα σοι και αγαλλιασις και πολλοι επι τη γεννησει αυτου χαρησονται.	kai estai chara soi kai agalliasis kai polloi epi te gennesei autou charesontai.	Luk|1|14|

15. For he shall be great in the sight of The Lord, and shall drink neither wine nor strong drink; and he shall be filled with The Holy Spirit, even from his motherís womb.	εσται γαρ μεγας ενωπιον του κυριου και οινον και σικερα ου μη πιη και πνευματος αγιου πλησθησεται ετι εκ κοιλιας μητρος αυτου	estai gar megas enopion tou kuriou kai oinon kai sikera ou me pie kai pneumatos agiou plesthesetai eti ek koilias metros autou	Luk|1|15|

16. And many of the sons of Israel shall he turn to The Lord their God.	και πολλους των υιων ισραηλ επιστρεψει επι κυριον τον θεον αυτων.	kai pollous ton uion israel epistrepsei epi kurion ton theon auton.	Luk|1|16|

17. And he shall go before him in the spirit and power of Elijah, to turn the hearts of the fathers to the children, and the disobedient to the wisdom of the righteous; to make ready a people prepared for The Lord.	και αυτος προελευσεται ενωπιον αυτου εν πνευματι και δυναμει ηλιου επιστρεψαι καρδιας πατερων επι τεκνα και απειθεις εν φρονησει δικαιων ετοιμασαι κυριω λαον κατεσκευασμενον.	kai autos proeleusetai enopion autou en pneumati kai dunamei eliou epistrepsai kardias pateron epi tekna kai apeitheis en phronesei dikaion etoimasai kurio laon kateskeuasmenon.	Luk|1|17|

18. And Zacharias said unto the angel, Whereby shall I know this? for I am an old man, and my wife well stricken in years.	και ειπε ζαχαριας προς τον αγγελον κατα τι γνωσομαι τουτο εγω γαρ ειμι πρεσβυτης και η γυνη μου προβεβηκυια εν ταις ημεραις αυτης.	kai eipe zacharias pros ton aggelon kata ti gnosomai touto ego gar eimi presbutes kai e gune mou probebekuia en tais emerais autes.	Luk|1|18|

19. And the angel answering said unto him, I am Gabriel, that stand in the presence of God; and am sent to speak unto thee, and to shew thee these glad tidings.	και αποκριθεις ο αγγελος ειπεν αυτω εγω ειμι γαβριηλ ο παρεστηκως ενωπιον του θεου και απεσταλην λαλησαι προς σε και ευαγγελισασθαι σοι ταυτα	kai apokritheis o aggelos eipen auto ego eimi gabriel o parestekos enopion tou theou kai apestalen lalesai pros se kai euaggelisasthai soi tauta	Luk|1|19|

20. And, behold, thou shalt be dumb, and not able to speak, until the day that these things shall be performed, because thou believest not my words, which shall be fulfilled in their season.	και ιδου εση σιωπων και μη δυναμενος λαλησαι αχρι ης ημερας γενηται ταυτα ανθ ων ουκ επιστευσας τοις λογοις μου οιτινες πληρωθησονται εις τον καιρον αυτων.	kai idou ese siopon kai me dunamenos lalesai achri es emeras genetai tauta anth on ouk episteusas tois logois mou oitines plerothesontai eis ton kairon auton.	Luk|1|20|

21. And the people waited for Zacharias, and marvelled that he tarried so long in The Temple.	και ην ο λαος προσδοκων τον ζαχαριαν και εθαυμαζον εν τω χρονιζειν αυτον εν τω ναω.	kai en o laos prosdokon ton zacharian kai ethaumazon en to chronizein auton en to nao.	Luk|1|21|

22. And when he came out, he could not speak unto them: and they perceived that he had seen a vision in The Temple: for he beckoned unto them, and remained speechless.	εξελθων δε ουκ ηδυνατο λαλησαι αυτοις και επεγνωσαν οτι οπτασιαν εωρακεν εν τω ναω και αυτος ην διανευων αυτοις και διεμενε κωφος.	exelthon de ouk edunato lalesai autois kai epegnosan oti optasian eoraken en to nao kai autos en dianeuon autois kai diemene kophos.	Luk|1|22|

23. And it came to pass, that, as soon as the days of his liturgical ministration were accomplished, he departed to his own house.	και εγενετο ως επλησθησαν αι ημεραι της λειτουργιας αυτου απηλθεν εις τον οικον αυτου.	kai egeneto os eplesthesan ai emerai tes leitourgias autou apelthen eis ton oikon autou.	Luk|1|23|

24. And after those days his wife Elisabeth conceived, and hid herself five months, saying,	μετα δε ταυτας τας ημερας συνελαβεν ελισαβετ η γυνη αυτου και περιεκρυβεν εαυτην μηνας πεντε λεγουσα	meta de tautas tas emeras sunelaben elisabet e gune autou kai periekruben eauten menas pente legousa	Luk|1|24|

25. Thus hath The Lord dealt with me in the days wherein he looked on me, to take away my reproach among men.	οτι ουτω μοι πεποιηκεν ο κυριος εν ημεραις αις επειδεν αφελειν ονειδος μου εν ανθρωποις.	oti outo moi pepoieken o kurios en emerais ais epeiden aphelein oneidos mou en anthropois.	Luk|1|25|

26. And in the sixth month the angel Gabriel was sent from God unto a city of Galilee, named Nazareth,	εν δε τω μηνι τω εκτω απεσταλη ο αγγελος γαβριηλ υπο του θεου εις πολιν της γαλιλαιας η ονομα ναζαρετ	en de to meni to ekto apestale o aggelos gabriel upo tou theou eis polin tes galilaias e onoma nazaret	Luk|1|26|

27. To a Virgin betrothed to a man whose name was Joseph, of the house of [David DV->26]; and the name of The Virgin was [Mary MR.A->15].	προς παρθενον μεμνηστευμενην ανδρι ω ονομα ιωσηφ εξ οικου δαυιδ και το ονομα της παρθενου μαριαμ.	pros parthenon memnesteumenen andri o onoma ioseph ex oikou dauid kai to onoma tes parthenou mariam.	Luk|1|27|

28. And the angel came in unto her, and said, Hail, Thou that art Full of Grace, The Lord is with Thee: Blessed art Thou among women.	και εισελθων ο αγγελος προς αυτην ειπε χαιρε κεχαριτωμενη ο κυριος μετα σου ευλογημενη συ εν γυναιξιν.	kai eiselthon o aggelos pros auten eipe chaire kecharitomene o kurios meta sou eulogemene su en gunaixin.	Luk|1|28|

29. And when she saw him, she was troubled at his words, and cast in her mind what manner of salutation this should be.	η δε ιδουσα διεταραχθη επι τω λογω αυτου και διελογιζετο ποταπος ειη ο ασπασμος ουτος.	e de idousa dietarachthe epi to logo autou kai dielogizeto potapos eie o aspasmos outos.	Luk|1|29|

30. And the angel said unto her, Fear not, [Mary MR.A->16]: for Thou hast found Grace with God.	και ειπεν ο αγγελος αυτη μη φοβου μαριαμ ευρες γαρ χαριν παρα τω θεω.	kai eipen o aggelos aute me phobou mariam eures gar charin para to theo.	Luk|1|30|

31. And, behold, Thou shalt Conceive in Thy Womb, and bring forth a Son, and shalt call His [Name NM.A->28 NM.C->1] JESUS.	και ιδου συλλημψη εν γαστρι και τεξη υιον και καλεσεις το ονομα αυτου ιησουν.	kai idou sullempse en gastri kai texe uion kai kaleseis to onoma autou iesoun.	Luk|1|31|

32. He shall be Great, and shall be called [The Son of The Highest SG->8]: and The Lord God shall give unto Him The Throne of His father [David DV->27]:	ουτος εσται μεγας και υιος υψιστου κληθησεται και δωσει αυτω κυριος ο θεος τον θρονον δαυιδ του πατρος αυτου	outos estai megas kai uios upsistou klethesetai kai dosei auto kurios o theos ton thronon dauid tou patros autou	Luk|1|32|

33. And He shall reign over The House of Jacob unto the ages; and of His Kingdom there shall be no end.	και βασιλευσει επι τον οικον ιακωβ εις τους αιωνας και της βασιλειας αυτου ουκ εσται τελος.	kai basileusei epi ton oikon iakob eis tous aionas kai tes basileias autou ouk estai telos.	Luk|1|33|

34. Then said [Mary MR.A->17] unto the angel, How shall this be, seeing I am not knowing a man?	ειπε δε μαριαμ προς τον αγγελον πως εσται τουτο επει ανδρα ου γινωσκω	eipe de mariam pros ton aggelon pos estai touto epei andra ou ginosko	Luk|1|34|

35. And the angel answered and said unto her, The Holy Spirit shall come upon Thee, and The Power of the Highest shall Overshadow Thee: therefore also that Holy One which shall be born of Thee shall be called [The Son of God SG->9].	και αποκριθεις ο αγγελος ειπεν αυτη πνευμα ῞αγιον επελευσεται επι σε και δυναμις υψιστου επισκιασει σοι διο και το γεννωμενον αγιον κληθησεται υιος θεου.	kai apokritheis o aggelos eipen aute pneuma ῞agion epeleusetai epi se kai dunamis upsistou episkiasei soi dio kai to gennomenon agion klethesetai uios theou.	Luk|1|35|

36. And, behold, Thy cousin Elisabeth, she hath also conceived a son in her old age: and this is the sixth month with her, who was called barren.	και ιδου ελισαβετ η συγγενις σου και αυτη συνειληφυια υιον εν γηρει αυτης και ουτος μην εκτος εστιν αυτη τη καλουμενη στειρα	kai idou elisabet e suggenis sou kai aute suneilephuia uion en gerei autes kai outos men ektos estin aute te kaloumene steira	Luk|1|36|

37. For with God nothing shall be impossible.	οτι ουκ αδυνατησει παρα τω θεου παν ρημα.	oti ouk adunatesei para to theou pan rema.	Luk|1|37|

38. And [Mary MR.A->18] said, Behold The Handmaid of The Lord; be it unto me according to thy Word. And the angel departed from her.	ειπε δε μαριαμ ιδου η δουλη κυριου γενοιτο μοι κατα το ρημα σου. και απηλθεν απ αυτης ο αγγελος.	eipe de mariam idou e doule kuriou genoito moi kata to rema sou. kai apelthen ap autes o aggelos.	Luk|1|38|

39. And [Mary MR.A->19] arose in those days, and went into the hill country with haste, into a city of Judah;	αναστασα δε μαριαμ εν ταις ημεραις ταυταις επορευθη εις την ορεινην μετα σπουδης εις πολιν ιουδα	anastasa de mariam en tais emerais tautais eporeuthe eis ten oreinen meta spoudes eis polin iouda	Luk|1|39|

40. And entered into the house of Zacharias, and saluted Elisabeth.	και εισηλθεν εις τον οικον ζαχαριου και ησπασατο την ελισαβετ.	kai eiselthen eis ton oikon zachariou kai espasato ten elisabet.	Luk|1|40|

41. And it came to pass, that, when Elisabeth heard the salutation of [Mary MR.A->20], the babe leaped in her womb; and Elisabeth was filled with The Holy Spirit:	και εγενετο ως ηκουσεν η ελισαβετ τον ασπασμον της μαριας εσκιρτησε το βρεφος εν τη κοιλια αυτης και επλησθη πνευματος αγιου η ελισαβετ	kai egeneto os ekousen e elisabet ton aspasmon tes marias eskirtese to brephos en te koilia autes kai eplesthe pneumatos agiou e elisabet	Luk|1|41|

42. And she spake out with a loud voice, and said, Blessed art Thou among women, and Blessed is The Fruit of Thy Womb.	και ανεφωνησε φωνη μεγαλη και ειπεν ευλογημενη συ εν γυναιξι και ευλογημενος ο καρπος της κοιλιας σου.	kai anephonese phone megale kai eipen eulogemene su en gunaixi kai eulogemenos o karpos tes koilias sou.	Luk|1|42|

43. And whence is this to me, that The [Mother MR.A->21] of my Lord should come to me?	και ποθεν μοι τουτο ινα ελθη η μητηρ του κυριου μου προς με	kai pothen moi touto ina elthe e meter tou kuriou mou pros me	Luk|1|43|

44. For, lo, as soon as the voice of Thy salutation sounded in mine ears, the babe leaped in my womb for joy.	ιδου γαρ ως εγενετο η φωνη του ασπασμου σου εις τα ωτα μου εσκιρτησεν εν αγαλλιασει το βρεφος εν τη κοιλια μου.	idou gar os egeneto e phone tou aspasmou sou eis ta ota mou eskirtesen en agalliasei to brephos en te koilia mou.	Luk|1|44|

45. And Blessed is She that believed: for there shall be a performance of those things which were told Her from The Lord.	και μακαρια η πιστευσασα οτι εσται τελειωσις τοις λελαλημενοις αυτη παρα κυριου.	kai makaria e pisteusasa oti estai teleiosis tois lelalemenois aute para kuriou.	Luk|1|45|

46. And [Mary MR.A->22] said, My soul doth magnify The Lord,	και ειπε μαριαμ	kai eipe mariam	Luk|1|46|

47. And My spirit hath rejoiced in God My Saviour.	μεγαλυνει η ψυχη μου τον κυριον και ηγαλλιασε το πνευμα μου επι τω θεω τω σωτηρι μου	megalunei e psuche mou ton kurion kai egalliase to pneuma mou epi to theo to soteri mou	Luk|1|47|

48. For he hath regarded the low estate of His Handmaiden: for, behold, from henceforth all generations shall call Me Blessed.	οτι επεβλεψεν επι την ταπεινωσιν της δουλης αυτου. ιδου γαρ απο του νυν μακαριουσι με πασαι αι γενεαι	oti epeblepsen epi ten tapeinosin tes doules autou. idou gar apo tou nun makariousi me pasai ai geneai	Luk|1|48|

49. For He That Is Mighty hath done to Me great things; and Holy is His [Name NM.A->29].	οτι εποιησε μοι μεγαλεια ο δυνατος και αγιον το ονομα αυτου	oti epoiese moi megaleia o dunatos kai agion to onoma autou	Luk|1|49|

50. And His mercy is on them that fear Him from generation to generation.	και το ελεος αυτου εις γενεας γενεων τοις φοβουμενοις αυτον.	kai to eleos autou eis geneas geneon tois phoboumenois auton.	Luk|1|50|

51. He hath shewed strength with His Arm; He hath scattered the proud in the imagination of their hearts.	εποιησε κρατος εν βραχιονι αυτου διεσκορπισεν υπερηφανους διανοια καρδιας αυτων	epoiese kratos en brachioni autou dieskorpisen uperephanous dianoia kardias auton	Luk|1|51|

52. He hath put down the mighty from their seats, and exalted them of low degree.	καθειλε δυναστας απο θρονων και υψωσε ταπεινους	katheile dunastas apo thronon kai upsose tapeinous	Luk|1|52|

53. He hath filled the hungry with good things; and the rich He hath sent empty away.	πεινωντας ενεπλησεν αγαθων και πλουτουντας εξαπεστειλε κενους.	peinontas eneplesen agathon kai ploutountas exapesteile kenous.	Luk|1|53|

54. He hath holpen His servant Israel, in remembrance of His mercy;	αντελαβετο ισραηλ παιδος αυτου μνησθηναι ελεους	antelabeto israel paidos autou mnesthenai eleous	Luk|1|54|

55. As He spake to our fathers, to Abraham, and to his seed for ever.	καθως ελαλησε προς τους πατερας ημων τω αβρααμ και τω σπερματι αυτου εις τον αιωνα.	kathos elalese pros tous pateras emon to abraam kai to spermati autou eis ton aiona.	Luk|1|55|

56. And [Mary MR.A->23] abode with her about three months, and returned to her own house.	εμεινε δε μαριαμ συν αυτη ωσει μηνας τρεις και υπεστρεψεν εις τον οικον αυτης.	emeine de mariam sun aute osei menas treis kai upestrepsen eis ton oikon autes.	Luk|1|56|

57. Now Elisabethís full time came that she should be delivered; and she brought forth a son.	τη δε ελισαβετ επλησθη ο χρονος του τεκειν αυτην και εγεννησεν υιον.	te de elisabet eplesthe o chronos tou tekein auten kai egennesen uion.	Luk|1|57|

58. And her neighbours and her kinsmen heard how The [Lord LR.C->13] had shewed great mercy upon her; and they rejoiced with her.	και ηκουσαν οι περιοικοι και οι συγγενεις αυτης οτι εμεγαλυνε κυριος το ελεος αυτου μετ αυτης και συνεχαιρον αυτη.	kai ekousan oi perioikoi kai oi suggeneis autes oti emegalune kurios to eleos autou met autes kai sunechairon aute.	Luk|1|58|

59. And it came to pass, that on the eighth day they came to circumcise the child; and they called him Zacharias, after the name of his father.	και εγενετο εν τη ογδοη ημερα ηλθον περιτεμειν το παιδιον και εκαλουν αυτο επι τω ονοματι του πατρος αυτου ζαχαριαν.	kai egeneto en te ogdoe emera elthon peritemein to paidion kai ekaloun auto epi to onomati tou patros autou zacharian.	Luk|1|59|

60. And his mother answered and said, Not so; but he shall be called John.	και αποκριθεισα η μητηρ αυτου ειπεν ουχι αλλα κληθησεται ιωαννης.	kai apokritheisa e meter autou eipen ouchi alla klethesetai ioannes.	Luk|1|60|

61. And they said unto her, There is none of thy kindred that is called by this name.	και ειπον προς αυτην οτι ουδεις εστιν εν τη συγγενεια σου ος καλειται τω ονοματι τουτω.	kai eipon pros auten oti oudeis estin en te suggeneia sou os kaleitai to onomati touto.	Luk|1|61|

62. And they made signs to his father, how he would have him called.	ενενευον δε τω πατρι αυτου το τι αν θελοι καλεισθαι αυτον.	eneneuon de to patri autou to ti an theloi kaleisthai auton.	Luk|1|62|

63. And he asked for a writing table, and wrote, saying, His name is John. And they marvelled all.	και αιτησας πινακιδιον εγραψε λεγων ιωαννης εστι το ονομα αυτου και εθαυμασαν παντες.	kai aitesas pinakidion egrapse legon ioannes esti to onoma autou kai ethaumasan pantes.	Luk|1|63|

64. And his mouth was opened immediately, and his tongue loosed, and he spake, and praised God.	ανεωχθη δε το στομα αυτου παραχρημα και η γλωσσα αυτου και ελαλει ευλογων τον θεον.	aneochthe de to stoma autou parachrema kai e glossa autou kai elalei eulogon ton theon.	Luk|1|64|

65. And fear came on all that dwelt round about them: and all these sayings were noised abroad throughout all the hill country of Judaea.	και εγενετο επι παντας φοβος τους περιοικουντας αυτους και εν ολη τη ορεινη της ιουδαιας διελαλειτο παντα τα ρηματα ταυτα	kai egeneto epi pantas phobos tous perioikountas autous kai en ole te oreine tes ioudaias dielaleito panta ta remata tauta	Luk|1|65|

66. And all they that heard them laid them up in their hearts, saying, What manner of child shall this be! And the hand of The [Lord LR.C->14] was with him.	και εθεντο παντες οι ακουσαντες εν τη καρδια αυτων λεγοντες τι αρα το παιδιον τουτο εσται και χειρ κυριου ην μετ αυτου.	kai ethento pantes oi akousantes en te kardia auton legontes ti ara to paidion touto estai kai cheir kuriou en met autou.	Luk|1|66|

67. And his father Zacharias was filled with The Holy Spirit, and [prophesied PR.B->9], saying,	και ζαχαριας ο πατηρ αυτου επλησθη πνευματος αγιου και επροφητευσε λεγων	kai zacharias o pater autou eplesthe pneumatos agiou kai epropheteuse legon	Luk|1|67|

68. Blessed be The Lord God of Israel; for He hath Visited and Redeemed His people,	ευλογητος κυριος ο θεος του ισραηλ οτι επεσκεψατο και εποιησε λυτρωσιν τω λαω αυτου	eulogetos kurios o theos tou israel oti epeskepsato kai epoiese lutrosin to lao autou	Luk|1|68|

69. And hath raised up an Horn of Salvation for us in The House of His servant [David DV->28];	και ηγειρε κερας σωτηριας ημιν εν τω οικω δαυιδ του παιδος αυτου	kai egeire keras soterias emin en to oiko dauid tou paidos autou	Luk|1|69|

70. As He spake by the mouth of His holy [prophets PR.B->10], which have been since the world began:	καθως ελαλησε δια στοματος των αγιων των απ αιωνος προφητων αυτου	kathos elalese dia stomatos ton agion ton ap aionos propheton autou	Luk|1|70|

71. That we should be saved from our enemies, and from the hand of all that hate us;	σωτηριαν εξ εχθρων ημων και εκ χειρος παντων των μισουντων ημας	soterian ex echthron emon kai ek cheiros panton ton misounton emas	Luk|1|71|

72. To perform the mercy promised to our fathers, and to remember His Holy Covenant;	ποιησαι ελεος μετα των πατερων ημων και μνησθηναι διαθηκης αγιας αυτου	poiesai eleos meta ton pateron emon kai mnesthenai diathekes agias autou	Luk|1|72|

73. The oath which He sware to our father Abraham,	ορκον ον ωμοσε προς αβρααμ τον πατερα ημων του δουναι ημιν	orkon on omose pros abraam ton patera emon tou dounai emin	Luk|1|73|

74. That He would grant unto us, that we being delivered out of the hand of our enemies might serve Him without fear,	αφοβως εκ χειρος των εχθρων ημων ρυσθεντας λατρευειν αυτω	aphobos ek cheiros ton echthron emon rusthentas latreuein auto	Luk|1|74|

75. In holiness and righteousness before Him, all the days of our life.	εν οσιοτητι και δικαιοσυνη ενωπιον αυτου πασαις τας ημερας της ζωης ημων.	en osioteti kai dikaiosune enopion autou pasais tas emeras tes zoes emon.	Luk|1|75|

76. And thou, child, shalt be called the [prophet PR.B->11] of The Highest: for thou shalt go before The Face of The Lord to prepare His ways;	και συ παιδιον προφητης υψιστου κληθηση προπορευση γαρ προ προσωπου κυριου ετοιμασαι οδους αυτου	kai su paidion prophetes upsistou klethese proporeuse gar pro prosopou kuriou etoimasai odous autou	Luk|1|76|

77. To give knowledge of salvation unto His people by the remission of their sins,	του δουναι γνωσιν σωτηριας τω λαω αυτου εν αφεσει αμαρτιων αυτων	tou dounai gnosin soterias to lao autou en aphesei amartion auton	Luk|1|77|

78. Through the tender mercy of our God; whereby The Dayspring from on High hath visited us,	δια σπλαγχνα ελεους θεου ημων εν οις επεσκεψατο ημας ανατολη εξ υψους	dia splagchna eleous theou emon en ois epeskepsato emas anatole ex upsous	Luk|1|78|

79. To give light to them that sit in darkness and in the shadow of death, to guide our feet into the way of peace.	επιφαναι τοις εν σκοτει και σκια θανατου καθημενοις του κατευθυναι τους ποδας ημων εις οδον ειρηνης.	epiphanai tois en skotei kai skia thanatou kathemenois tou kateuthunai tous podas emon eis odon eirenes.	Luk|1|79|

80. And the child grew, and waxed strong in Spirit, and was in the deserts till the day of his shewing unto Israel.	το δε παιδιον ηυξανε και εκραταιουτο πνευματι και ην εν ταις ερημοις εως ημερας αναδειξεως αυτου προς τον ισραηλ.	to de paidion euxane kai ekrataiouto pneumati kai en en tais eremois eos emeras anadeixeos autou pros ton israel.	Luk|1|80|

1. And it came to pass in those days, that there went out a decree from Caesar Augustus, that all the world should be taxed.	εγενετο δε εν ταις ημεραις εκειναις εξηλθε δογμα παρα καισαρος αυγουστου απογραφεσθαι πασαν την οικουμενην.	egeneto de en tais emerais ekeinais exelthe dogma para kaisaros augoustou apographesthai pasan ten oikoumenen.	Luk|2|1|

2. And this taxing was first made when Cyrenius was governor of Syria.	αυτη η απογραφη πρωτη εγενετο ηγεμονευοντος της συριας κυρηνιου.	aute e apographe prote egeneto egemoneuontos tes surias kureniou.	Luk|2|2|

3. And all went to be taxed, every one into his own city.	και επορευοντο παντες απογραφεσθαι εκαστος εις την ιδιαν πολιν.	kai eporeuonto pantes apographesthai ekastos eis ten idian polin.	Luk|2|3|

4. And Joseph also went up from Galilee, out of the city of Nazareth, into Judaea, unto the city of [David DV->29], which is called Bethlehem; because he was of the house and lineage of [David DV->30]:	ανεβη δε και ιωσηφ απο της γαλιλαιας εκ πολεως ναζαρετ εις την ιουδαιαν εις πολιν δαυιδ ητις καλειται βηθλεεμ δια το ειναι αυτον εξ οικου και πατριας δαυιδ	anebe de kai ioseph apo tes galilaias ek poleos nazaret eis ten ioudaian eis polin dauid etis kaleitai bethleem dia to einai auton ex oikou kai patrias dauid	Luk|2|4|

5. To be taxed with [Mary MR.A->24] his betrothed, being great with child.	απογραψασθαι συν μαριαμ τη μεμνηστευμενη αυτω γυναικι ουση εγκυω.	apograpsasthai sun mariam te memnesteumene auto gunaiki ouse egkuo.	Luk|2|5|

6. And so it was, that, while they were there, the days were accomplished that she should be delivered.	εγενετο δε εν τω ειναι αυτους εκει επλησθησαν αι ημεραι του τεκειν αυτην	egeneto de en to einai autous ekei eplesthesan ai emerai tou tekein auten	Luk|2|6|

7. And she brought forth her Son, The Firstborn, and wrapped Him in swaddling clothes, and laid Him in a manger; because there was no room for them in the inn.	και ετεκε τον υιον αυτης τον πρωτοτοκον και εσπαργανωσεν αυτον και ανεκλινεν αυτον εν φατνη διοτι ουκ ην αυτοις τοπος εν τω καταλυματι.	kai eteke ton uion autes ton prototokon kai esparganosen auton kai aneklinen auton en phatne dioti ouk en autois topos en to katalumati.	Luk|2|7|

8. And there were in the same country shepherds abiding in the field, keeping watch over their flock by night.	και ποιμενες ησαν εν τη χωρα τη αυτη αγραυλουντες και φυλασσοντες φυλακας της νυκτος επι την ποιμνην αυτων.	kai poimenes esan en te chora te aute agraulountes kai phulassontes phulakas tes nuktos epi ten poimnen auton.	Luk|2|8|

9. And ~ the angel of The [Lord LR.C->15] came upon them, and The Glory of The [Lord LR.C->16] shone round about them: and they feared with great fear.	και αγγελος κυριου επεστη αυτοις και δοξα κυριου περιελαμψεν αυτους και εφοβηθησαν φοβον μεγαν.	kai aggelos kuriou epeste autois kai doxa kuriou perielampsen autous kai ephobethesan phobon megan.	Luk|2|9|

10. And the angel said unto them, Fear not: for, behold, I bring you good tidings of great joy, which shall be to all people.	και ειπεν αυτοις ο αγγελος μη φοβεισθε ιδου γαρ ευαγγελιζομαι υμιν χαραν μεγαλην ητις εσται παντι τω λαω	kai eipen autois o aggelos me phobeisthe idou gar euaggelizomai umin charan megalen etis estai panti to lao	Luk|2|10|

11. For unto you is born this day in the city of [David DV->31] a Saviour, which is Christ The Lord.	οτι ετεχθη υμιν σημερον σωτηρ ος εστι χριστος κυριος εν πολει δαυιδ.	oti etechthe umin semeron soter os esti christos kurios en polei dauid.	Luk|2|11|

12. And this shall be a sign unto you; Ye shall find The Babe wrapped in swaddling clothes, lying in a manger.	και τουτο υμιν το σημειον ευρησετε βρεφος εσπαργανωμενον κειμενον εν φατνη.	kai touto umin to semeion euresete brephos esparganomenon keimenon en phatne.	Luk|2|12|

